Antall datapunkter: 10201
X: -4.800, Y: 3.900, Z: 38.250, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.000, Z: 39.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.100, Z: 39.850, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.200, Z: 40.680, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.300, Z: 41.530, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.400, Z: 42.400, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.500, Z: 43.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.600, Z: 44.200, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.700, Z: 45.130, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.800, Z: 46.080, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 4.900, Z: 47.050, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 5.000, Z: 48.040, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -5.000, Z: 47.090, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.900, Z: 46.100, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.800, Z: 45.130, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.700, Z: 44.180, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.600, Z: 43.250, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.500, Z: 42.340, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.400, Z: 41.450, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.300, Z: 40.580, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.200, Z: 39.730, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.100, Z: 38.900, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -4.000, Z: 38.090, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: -3.900, Z: 37.300, r: 1.000, g: 0.000, b: 0.000
